Client Name,Email,Start Date,Retainer Amount,Paid Amount,Payment Date,Next Due Date,Payment Status,Contract Status
"Long, Brady and Tran",garzamichael@burch.com,2024-11-17,1000,1000,2025-01-16,2025-02-15,Paid,Ended
"Lyons, Reynolds and Thomas",patrick40@wiley-gay.com,2025-05-22,2500,1250,2025-07-07,2025-08-06,Partial,Active
Jensen-Sanchez,thompsonpatricia@vega.info,2025-03-18,2000,0,2025-05-12,2025-06-11,Overdue,Ended
"Pitts, Williams and Huffman",thompsontrevor@williams.com,2024-06-20,2000,1000,2024-07-28,2024-08-27,Partial,Ended
Morris Ltd,peggydonovan@rodgers.info,2024-12-02,1500,1500,2025-02-11,2025-03-13,Paid,Ended
Williams Ltd,sarahjarvis@brennan.biz,2025-04-15,2500,2500,2025-05-28,2025-06-27,Paid,Ended
Garcia-Webb,barbarafleming@ball.com,2024-11-13,1500,750,2024-12-22,2025-01-21,Partial,Ended
Holland-Dunn,cameron32@torres.info,2023-09-18,2000,2000,2023-10-16,2023-11-15,Paid,Ended
Landry Group,pbennett@adams.net,2025-01-26,1500,0,2025-03-03,2025-04-02,Overdue,Ended
"Reed, Hansen and Myers",lpatel@brown.com,2024-07-29,1500,0,2024-10-14,2024-11-13,Overdue,Ended
Rodriguez-Lyons,epope@stevens.com,2023-11-05,500,500,2024-01-26,2024-02-25,Paid,Ended
Collins Group,markryan@stokes.com,2024-09-03,500,500,2024-11-30,2024-12-30,Paid,Ended
Cole Inc,danielreilly@knight.com,2023-10-18,500,0,2024-01-06,2024-02-05,Overdue,Ended
Gonzalez-Maldonado,kmontgomery@george-ortiz.com,2024-04-05,2000,2000,2024-05-05,2024-06-04,Paid,Ended
"Lewis, Guzman and Dixon",grantbrandon@ford.com,2025-02-11,500,500,2025-04-29,2025-05-29,Paid,Ended
Barker and Sons,yhill@hays.com,2024-10-08,2500,1250,2024-12-21,2025-01-20,Partial,Ended
Scott-Mullen,ljohnson@atkinson-taylor.com,2025-02-20,2500,2500,2025-05-12,2025-06-11,Paid,Ended
Kent Inc,bishopjennifer@mitchell-king.com,2024-04-19,1000,0,2024-05-31,2024-06-30,Overdue,Ended
Vargas-Flores,christinemiller@mcguire-riggs.com,2023-10-08,2500,1250,2023-12-07,2024-01-06,Partial,Ended
"Curry, Reese and Pugh",garciamartha@norman-leonard.biz,2025-04-28,1500,1500,2025-07-15,2025-08-14,Paid,Active
"Hull, Barnes and Mendoza",martinezmichelle@larsen-lin.info,2023-07-01,1000,1000,2023-09-20,2023-10-20,Paid,Ended
Mccall PLC,lucassarah@weeks.com,2024-06-16,500,500,2024-08-07,2024-09-06,Paid,Ended
Gonzalez LLC,davidgarrison@olson-melton.biz,2023-10-15,2000,1000,2024-01-08,2024-02-07,Partial,Ended
"Smith, Mitchell and Cooper",shannonwillie@marshall-navarro.org,2024-07-27,500,0,2024-09-08,2024-10-08,Overdue,Ended
Hill-Smith,philliphorton@smith-smith.com,2024-07-12,2000,2000,2024-08-18,2024-09-17,Paid,Ended
Clark-Bolton,stricklandelizabeth@hall-burns.com,2024-02-15,2000,2000,2024-03-07,2024-04-06,Paid,Ended
Lopez LLC,robertharrington@martin.com,2023-10-21,2000,1000,2024-01-11,2024-02-10,Partial,Ended
Mullins-Crawford,fhull@ball-jackson.com,2025-04-08,500,500,2025-07-04,2025-08-03,Paid,Active
Martin Inc,ygraham@hood.info,2024-06-16,1000,0,2024-08-25,2024-09-24,Overdue,Ended
"Butler, Deleon and Pena",johnsontamara@wang.com,2025-06-11,500,500,2025-09-01,2025-10-01,Paid,Active
Wright-Acosta,dwilkerson@edwards.biz,2023-12-13,2500,2500,2024-01-16,2024-02-15,Paid,Ended
Phillips-Ruiz,lisa98@martin-mann.com,2024-11-10,2000,0,2025-01-13,2025-02-12,Overdue,Ended
"Davis, Robinson and Adams",taylorbolton@wang.com,2024-08-31,500,0,2024-10-28,2024-11-27,Overdue,Ended
Decker PLC,hollycarter@hayes.com,2024-06-24,500,0,2024-08-03,2024-09-02,Overdue,Ended
Garza-Anderson,megan51@parsons.com,2023-07-09,1500,1500,2023-09-18,2023-10-18,Paid,Ended
"Olson, Blackwell and Simpson",david96@simpson.com,2024-06-20,2500,0,2024-08-27,2024-09-26,Overdue,Ended
Rogers Inc,peternelson@navarro.org,2024-07-05,1500,750,2024-08-13,2024-09-12,Partial,Ended
"Aguirre, Daniels and Allen",lisa82@alvarez-bruce.com,2023-12-03,2500,0,2024-02-08,2024-03-09,Overdue,Ended
Anderson and Sons,ifox@harrison-warner.info,2024-02-08,500,250,2024-03-10,2024-04-09,Partial,Ended
Velasquez-Smith,cherylrodriguez@brooks-barrera.com,2024-11-12,500,0,2024-12-10,2025-01-09,Overdue,Ended
"Dodson, Johnson and Smith",hbryant@marks-tran.com,2023-08-09,500,0,2023-10-14,2023-11-13,Overdue,Ended
"Young, Fuller and Wright",dcisneros@castro-lee.info,2025-05-13,1500,1500,2025-08-01,2025-08-31,Paid,Active
"Avila, Bradshaw and Obrien",sarastone@owens.net,2024-09-18,2500,0,2024-12-05,2025-01-04,Overdue,Ended
Goodwin Inc,gcampbell@williams-scott.com,2023-12-28,500,500,2024-03-18,2024-04-17,Paid,Ended
Miranda-Miller,xgibson@joseph.org,2023-11-23,500,0,2024-01-12,2024-02-11,Overdue,Ended
Cox Ltd,brian37@hunt.com,2025-02-17,500,0,2025-05-09,2025-06-08,Overdue,Ended
Cruz LLC,aibarra@sullivan.net,2023-12-01,2500,2500,2023-12-23,2024-01-22,Paid,Ended
Grant Ltd,cedwards@hunter.net,2024-05-21,500,0,2024-06-21,2024-07-21,Overdue,Ended
Hill PLC,lawrencedaniels@richardson-lee.org,2025-05-22,500,0,2025-07-23,2025-08-22,Partial,Active
Walker LLC,ksparks@garcia-gay.com,2024-03-26,500,250,2024-06-02,2024-07-02,Partial,Ended
Nichols-Ibarra,sharonperez@weaver-henderson.com,2024-07-15,1500,0,2024-10-10,2024-11-09,Overdue,Ended
Harris-Parrish,howardmatthew@oconnor.org,2024-12-07,2500,2500,2025-02-17,2025-03-19,Paid,Ended
"Santiago, Wood and Raymond",jessicafoster@williams.biz,2024-09-18,1000,0,2024-10-13,2024-11-12,Overdue,Ended
"Burns, Fuentes and Bailey",lisa70@allen-ball.com,2024-05-08,2000,0,2024-06-10,2024-07-10,Overdue,Ended
Flynn-Schultz,shahmichelle@lloyd.com,2024-08-15,2500,2500,2024-10-25,2024-11-24,Paid,Ended
Wilson PLC,markbrown@anderson.com,2024-01-17,1000,500,2024-02-12,2024-03-13,Partial,Ended
"Holder, Stafford and Hall",weissstanley@rivera.com,2024-10-25,2000,1000,2024-12-26,2025-01-25,Partial,Ended
Arias-Fleming,lisa33@joseph.com,2024-02-15,2500,2500,2024-04-18,2024-05-18,Paid,Ended
Gutierrez LLC,rangelchristopher@reid.com,2025-01-06,1500,750,2025-03-28,2025-04-27,Partial,Ended
"Palmer, Richardson and Arnold",james09@johnson-jacobs.com,2023-07-02,500,250,2023-09-24,2023-10-24,Partial,Ended
"Mitchell, Christian and Johnson",rking@russo.com,2023-12-31,2000,1000,2024-02-22,2024-03-23,Partial,Ended
Davis Inc,lorraine76@wilkinson.com,2025-06-16,2500,1250,2025-07-14,2025-08-13,Partial,Active
Ewing Group,harrisnancy@peters.info,2023-12-26,1500,1500,2024-02-20,2024-03-21,Paid,Ended
Bennett-Foster,michael88@brooks-rowland.com,2023-10-24,1000,0,2024-01-11,2024-02-10,Overdue,Ended
Cooper-Velez,jennifer41@taylor.com,2023-07-11,2500,1250,2023-08-08,2023-09-07,Partial,Ended
Harris-Wilson,jennifer84@rasmussen.com,2025-04-26,500,500,2025-07-17,2025-08-16,Paid,Active
"Garcia, Wade and Bell",lmurphy@jenkins.com,2024-03-01,500,250,2024-03-30,2024-04-29,Partial,Ended
Rodgers-Watts,fclark@shah.net,2024-02-05,1500,0,2024-04-30,2024-05-30,Overdue,Ended
"Scott, Williams and Spencer",qberry@williams.com,2023-08-27,2500,0,2023-09-30,2023-10-30,Overdue,Ended
Scott-Mcbride,petersonsara@ochoa.com,2024-12-25,1500,1500,2025-01-14,2025-02-13,Paid,Ended
Brown-Reed,matthew67@davidson-mayer.net,2023-11-22,2000,2000,2023-12-20,2024-01-19,Paid,Ended
"Ramirez, Dickerson and Fox",omoreno@miller-carter.org,2024-11-15,1500,750,2025-01-16,2025-02-15,Partial,Ended
"Branch, Gutierrez and Perry",iramirez@harmon-patterson.com,2024-11-26,1500,0,2025-01-01,2025-01-31,Overdue,Ended
"Moss, Ramos and Wallace",timothyjones@smith.com,2024-12-26,1500,1500,2025-02-14,2025-03-16,Paid,Ended
"Smith, Ramirez and Harmon",tyler01@bass.com,2025-04-06,1000,500,2025-04-27,2025-05-27,Partial,Ended
"Burnett, Payne and Lawrence",nancydunn@brown.info,2024-05-05,2500,0,2024-06-04,2024-07-04,Overdue,Ended
Cantu LLC,shannonsmith@chandler-harmon.biz,2024-02-21,2000,1000,2024-05-01,2024-05-31,Partial,Ended
"Vargas, Mitchell and Morgan",paul26@sharp.biz,2025-05-06,2000,1000,2025-06-15,2025-07-15,Partial,Active
Rogers Inc,christopher34@hall-gonzalez.com,2024-11-23,1000,1000,2024-12-21,2025-01-20,Paid,Ended
Smith LLC,jenniferlin@yu-martinez.biz,2023-11-29,1000,1000,2024-02-27,2024-03-28,Paid,Ended
Johnson-Perez,grusso@vargas.com,2024-08-01,2500,1250,2024-09-30,2024-10-30,Partial,Ended
Nelson PLC,angela38@williams.com,2024-03-19,2500,0,2024-05-07,2024-06-06,Overdue,Ended
Taylor LLC,taylorjohnny@lewis.com,2024-02-03,2000,2000,2024-03-11,2024-04-10,Paid,Ended
Stewart-Jenkins,bennettfrederick@lyons-williams.com,2024-02-01,2000,0,2024-04-20,2024-05-20,Overdue,Ended
"Liu, Ingram and Dixon",keith81@wilkerson-davis.com,2023-08-16,2000,1000,2023-10-23,2023-11-22,Partial,Ended
Taylor Group,davidsmith@hayes.com,2024-09-23,2500,0,2024-11-04,2024-12-04,Overdue,Ended
Rodriguez and Sons,james31@nguyen.com,2024-02-21,2000,0,2024-04-17,2024-05-17,Overdue,Ended
Williams Inc,timothyvance@baker.com,2024-01-09,2000,0,2024-04-06,2024-05-06,Overdue,Ended
"Gay, Lee and Grimes",hernandezalexis@jackson-mcdowell.com,2023-07-25,2500,1250,2023-10-04,2023-11-03,Partial,Ended
Jones-Carr,barbara72@wagner.com,2023-12-05,1500,1500,2024-02-19,2024-03-20,Paid,Ended
"Johnson, Robbins and Davidson",harperscott@harris.com,2024-04-04,2500,0,2024-04-30,2024-05-30,Overdue,Ended
Salas-Davis,btucker@coleman.com,2024-10-26,1000,500,2025-01-04,2025-02-03,Partial,Ended
Bailey LLC,margaretchapman@beck.com,2024-09-12,1500,1500,2024-12-07,2025-01-06,Paid,Ended
"Green, Perry and Carpenter",kocherin@hill.com,2024-08-24,500,500,2024-11-11,2024-12-11,Paid,Ended
Smith-Hunt,megan57@gomez.net,2024-11-18,500,250,2025-01-29,2025-02-28,Partial,Ended
Ramirez-Flynn,donna43@mathews.info,2023-11-16,2500,0,2024-02-07,2024-03-08,Overdue,Ended
Powell PLC,hernandezalyssa@silva-patrick.biz,2024-03-14,2000,0,2024-04-11,2024-05-11,Overdue,Ended
"Aguilar, Jackson and Cross",mistybennett@martinez-davis.com,2025-05-03,500,0,2025-06-01,2025-07-01,Partial,Active
Bean PLC,rebeccaaguirre@henry-thompson.org,2025-05-16,2000,2000,2025-07-31,2025-08-30,Paid,Active
Hamilton Ltd,nelsonlauren@bowen.org,2025-03-12,1000,0,2025-05-08,2025-06-07,Overdue,Ended
"Cooper, Williams and Lester",ashley81@mills.com,2025-02-18,2000,2000,2025-05-03,2025-06-02,Paid,Ended
Lynch-Ellis,tracy62@flores.com,2024-01-10,1000,1000,2024-04-09,2024-05-09,Paid,Ended
Alexander-Glover,keithgarrison@walker.com,2023-11-19,1000,1000,2024-01-16,2024-02-15,Paid,Ended
Ortiz PLC,martinezkathryn@carroll.org,2025-01-03,1000,1000,2025-02-05,2025-03-07,Paid,Ended
"Lawrence, Lee and Cuevas",marquezhaley@sandoval-hoover.com,2024-06-17,1000,1000,2024-09-09,2024-10-09,Paid,Ended
"Wheeler, Moran and Jones",josephgregory@harris.com,2025-03-26,1000,500,2025-05-06,2025-06-05,Partial,Ended
Bridges Ltd,staceywest@mills.com,2024-09-01,1000,500,2024-09-26,2024-10-26,Partial,Ended
Morgan Ltd,brianna29@wallace.info,2024-03-29,2500,0,2024-05-19,2024-06-18,Overdue,Ended
Estes-White,clee@gregory.com,2025-02-01,2000,1000,2025-03-26,2025-04-25,Partial,Ended
Jackson Ltd,iedwards@aguilar.com,2024-08-17,2500,0,2024-10-14,2024-11-13,Overdue,Ended
Miller and Sons,bbutler@garza.com,2023-10-27,2500,1250,2023-12-04,2024-01-03,Partial,Ended
"Nixon, Cummings and Douglas",larry09@brown.com,2023-07-22,2000,1000,2023-10-08,2023-11-07,Partial,Ended
Todd-Mcbride,tandrews@pacheco.com,2025-04-24,500,250,2025-07-13,2025-08-12,Partial,Active
"Burgess, Kirby and Garcia",andrewsedgar@rose.info,2024-12-05,1500,0,2025-03-02,2025-04-01,Overdue,Ended
"Mills, Torres and Lewis",trussell@rosales-jackson.com,2024-11-03,500,250,2024-12-12,2025-01-11,Partial,Ended
Harvey PLC,ryanbarnes@pope.com,2024-06-22,1000,1000,2024-08-05,2024-09-04,Paid,Ended
Bartlett LLC,vincentbryant@martinez-jackson.org,2023-08-06,1500,0,2023-10-19,2023-11-18,Overdue,Ended
Jones Ltd,zacharymendoza@gomez.info,2024-02-06,500,500,2024-04-08,2024-05-08,Paid,Ended
Bowers Inc,dweaver@paul.com,2024-07-19,1000,1000,2024-08-09,2024-09-08,Paid,Ended
Poole and Sons,bsilva@king-wheeler.com,2023-10-17,500,250,2023-11-18,2023-12-18,Partial,Ended
Anderson-Bennett,irwincathy@carter.com,2023-08-13,500,250,2023-11-07,2023-12-07,Partial,Ended
Thomas Inc,nelsontiffany@thomas.com,2024-12-18,2500,0,2025-01-08,2025-02-07,Overdue,Ended
"Williams, Mckay and Figueroa",susan68@williams-castillo.com,2024-09-25,500,500,2024-11-04,2024-12-04,Paid,Ended
"Noble, Colon and Dennis",iclark@shelton.com,2024-12-20,2500,0,2025-03-17,2025-04-16,Overdue,Ended
"Patel, Medina and Finley",hahnchristopher@smith.net,2024-03-14,1000,0,2024-04-14,2024-05-14,Overdue,Ended
Gonzalez and Sons,mckeejessica@carter.com,2025-05-19,2500,1250,2025-07-26,2025-08-25,Partial,Active
Johnson-Schmidt,eric95@diaz.com,2025-01-23,2500,2500,2025-04-17,2025-05-17,Paid,Ended
"Elliott, Jackson and Lynch",mackenziehubbard@fernandez.com,2024-05-03,2000,0,2024-06-05,2024-07-05,Overdue,Ended
Lang Ltd,brownjimmy@sutton-long.org,2023-12-08,1500,1500,2024-02-11,2024-03-12,Paid,Ended
Hamilton Ltd,cynthia29@lane.info,2023-09-01,500,0,2023-11-14,2023-12-14,Overdue,Ended
Simpson-Davis,rburgess@hayes.info,2024-02-14,1500,750,2024-03-25,2024-04-24,Partial,Ended
Schultz and Sons,shahluke@graham.com,2024-02-25,1000,500,2024-05-13,2024-06-12,Partial,Ended
Hodge-Moore,darlene44@krueger.com,2024-03-01,2000,0,2024-04-08,2024-05-08,Overdue,Ended
"Mosley, Farmer and Ray",vjoseph@rodriguez.com,2024-02-29,2000,0,2024-05-03,2024-06-02,Overdue,Ended
"Rios, Diaz and Lynch",xwilliams@evans-mueller.info,2023-07-04,1500,0,2023-08-13,2023-09-12,Overdue,Ended
Smith Group,ryoung@proctor-mills.com,2025-03-05,1500,1500,2025-05-29,2025-06-28,Paid,Ended
"Keller, Griffin and Jennings",munoztara@tran.com,2024-01-20,1500,1500,2024-04-09,2024-05-09,Paid,Ended
Lewis LLC,popewilliam@yang-flores.com,2025-02-06,2000,2000,2025-04-24,2025-05-24,Paid,Ended
Fisher-White,jonesseth@woodard.com,2024-06-10,1500,0,2024-09-07,2024-10-07,Overdue,Ended
Lopez-Page,ilopez@white-love.org,2025-01-01,1000,500,2025-03-08,2025-04-07,Partial,Ended
"Hansen, Harper and Porter",travis29@rose-hall.com,2024-11-29,2500,0,2025-01-18,2025-02-17,Overdue,Ended
Bradford Group,tommy71@mack.com,2024-06-25,2500,0,2024-08-18,2024-09-17,Overdue,Ended
Estrada-Lin,reneewoods@herman.com,2023-07-23,500,250,2023-08-26,2023-09-25,Partial,Ended
Ferrell-Robinson,jmitchell@willis-fernandez.com,2025-03-22,2500,0,2025-06-06,2025-07-06,Partial,Active
Mcdonald-Hall,jamiewallace@beck-orr.info,2025-03-07,500,0,2025-04-30,2025-05-30,Overdue,Ended
Burton PLC,martinashley@hensley-osborn.biz,2023-08-11,500,250,2023-09-01,2023-10-01,Partial,Ended
Martin-Mills,bhoward@dennis.info,2023-10-30,2000,2000,2023-11-26,2023-12-26,Paid,Ended
Foster PLC,jessicabrooks@johnson-green.com,2025-03-03,1500,0,2025-05-03,2025-06-02,Overdue,Ended
"Hall, Sanders and Ferguson",erikamartin@sandoval-coffey.info,2024-06-17,1000,500,2024-07-17,2024-08-16,Partial,Ended
"Meyers, Kaiser and Gardner",opham@buck.com,2023-12-07,1000,500,2024-02-15,2024-03-16,Partial,Ended
Anderson and Sons,bhull@ward.net,2023-11-24,2000,2000,2024-01-03,2024-02-02,Paid,Ended
Rush Group,rubensmith@carter.com,2025-05-13,2500,0,2025-07-24,2025-08-23,Partial,Active
"Rojas, Rodriguez and Jackson",sparkscynthia@chavez.com,2024-08-21,2000,0,2024-10-07,2024-11-06,Overdue,Ended
Hogan Inc,anita35@garza-holland.biz,2024-11-18,2500,1250,2025-01-22,2025-02-21,Partial,Ended
Garcia-Bonilla,garciarobert@christensen.com,2025-05-09,2000,0,2025-07-07,2025-08-06,Partial,Active
Carr-Le,bryancoleman@graham.org,2024-04-06,1500,0,2024-06-06,2024-07-06,Overdue,Ended
Adams-Phillips,raycody@fisher.info,2024-06-10,2000,2000,2024-07-09,2024-08-08,Paid,Ended
Smith Ltd,ehudson@burns.net,2025-02-19,2500,0,2025-05-14,2025-06-13,Overdue,Ended
Hamilton-Morse,denniskeith@jackson.com,2025-04-14,1000,1000,2025-06-26,2025-07-26,Paid,Active
"Smith, Gonzalez and Hoover",brian53@huang.com,2023-07-17,2500,1250,2023-10-15,2023-11-14,Partial,Ended
Hess-Woods,teresamcgee@owens.org,2023-10-01,500,250,2023-11-27,2023-12-27,Partial,Ended
Oconnor Inc,tylervincent@garcia-mann.net,2023-08-14,2000,0,2023-09-11,2023-10-11,Overdue,Ended
Moore Inc,torresjeffrey@wilson.com,2023-07-20,1500,750,2023-10-01,2023-10-31,Partial,Ended
"Reed, Sanford and Benson",zgarza@jones-miller.net,2023-08-05,2000,0,2023-09-17,2023-10-17,Overdue,Ended
Castro-Rivera,linda12@gibbs-hammond.com,2023-08-22,1000,1000,2023-10-20,2023-11-19,Paid,Ended
Rivera LLC,humphreyjordan@martinez.net,2024-06-19,1000,1000,2024-09-05,2024-10-05,Paid,Ended
Johnson Ltd,monicagomez@mccoy.org,2023-11-05,1000,500,2024-01-31,2024-03-01,Partial,Ended
"Davis, Bryan and Jones",kyle08@romero-frye.com,2023-11-06,1500,750,2024-01-19,2024-02-18,Partial,Ended
Miller-Campbell,jacquelineswanson@cook.info,2024-07-18,2500,2500,2024-09-01,2024-10-01,Paid,Ended
Johnson-Tucker,rothoscar@cardenas.com,2025-06-03,1500,1500,2025-08-14,2025-09-13,Paid,Active
"Buchanan, Brown and Powers",lisamalone@sullivan-rodriguez.com,2023-10-08,1500,1500,2023-11-17,2023-12-17,Paid,Ended
Stewart LLC,njones@martinez.com,2024-06-03,2000,1000,2024-08-26,2024-09-25,Partial,Ended
Anderson-Ramsey,crystalnelson@burton-brown.com,2024-07-18,500,0,2024-09-06,2024-10-06,Overdue,Ended
Hooper PLC,daniel00@finley.net,2023-11-19,1000,500,2023-12-20,2024-01-19,Partial,Ended
Diaz and Sons,tyler80@stone.com,2024-04-25,500,0,2024-06-24,2024-07-24,Overdue,Ended
"Hernandez, Shannon and Wade",michaelbonilla@stewart-obrien.com,2024-11-26,500,500,2025-01-10,2025-02-09,Paid,Ended
"Maynard, Price and Pitts",dustinbush@barnes.info,2023-08-12,2000,1000,2023-10-10,2023-11-09,Partial,Ended
Knight Group,eduke@byrd.com,2024-02-16,1500,750,2024-04-17,2024-05-17,Partial,Ended
Dixon Group,cheyenne67@mendez-white.info,2025-06-17,2500,1250,2025-07-25,2025-08-24,Partial,Active
"Morgan, Patton and Herrera",tiffany28@guerra.com,2023-12-16,2500,2500,2024-01-21,2024-02-20,Paid,Ended
Fuentes-Castillo,mcgrathcharles@sanders-jordan.com,2023-09-24,2000,1000,2023-12-20,2024-01-19,Partial,Ended
Nguyen-Garcia,hollycline@mendez.com,2025-04-16,1500,750,2025-06-07,2025-07-07,Partial,Active
Wright and Sons,xrodriguez@jenkins.com,2024-09-15,2500,1250,2024-10-07,2024-11-06,Partial,Ended
"Lam, Hughes and Beck",carlahorne@winters.biz,2025-05-05,2000,1000,2025-06-24,2025-07-24,Partial,Active
"Jackson, Kim and Juarez",michelleharris@thompson.biz,2024-12-06,2500,1250,2024-12-30,2025-01-29,Partial,Ended
Young-Ruiz,susan83@brown.com,2024-12-18,1000,0,2025-03-17,2025-04-16,Overdue,Ended
"Clark, Johnson and Gates",thoffman@taylor.org,2025-01-28,1000,0,2025-02-20,2025-03-22,Overdue,Ended
Mcdonald-Boyd,ashleymartinez@hubbard.org,2024-03-16,1000,0,2024-05-17,2024-06-16,Overdue,Ended
"Shea, Harris and Cordova",reneegreene@marsh.com,2023-10-25,2500,1250,2023-12-16,2024-01-15,Partial,Ended
Anderson Ltd,sarahorne@davis.com,2024-12-20,500,250,2025-01-16,2025-02-15,Partial,Ended
Ball-Lee,rclarke@benjamin.biz,2024-05-15,500,500,2024-06-05,2024-07-05,Paid,Ended
Crosby-Richardson,klam@acosta.biz,2025-04-01,2500,2500,2025-05-26,2025-06-25,Paid,Ended
"Steele, Hansen and Griffith",millsdavid@joseph.biz,2024-11-21,1000,0,2025-01-15,2025-02-14,Overdue,Ended
